,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
80,81,,0.8578750057,1.0395174119,0.4625178842,0.1715031233,1.1809620756,4,,1.4496197258,1.4520432462,0.0936981592,1.35,1.5443924107,4,,0.0123332353,0.0142497442,0.0067662085,0.002594764,0.0182386887,4
81,82,,0.8578750057,1.0395174119,0.4625178842,0.1715031233,1.1809620756,4,,1.4496197258,1.4520432462,0.0936981592,1.35,1.5443924107,4,,0.0123332353,0.0142497442,0.0067662085,0.002594764,0.0182386887,4
82,83,,0.8578750057,1.0395174119,0.4625178842,0.1715031233,1.1809620756,4,,1.4496197258,1.4520432462,0.0936981592,1.35,1.5443924107,4,,0.0123332353,0.0142497442,0.0067662085,0.002594764,0.0182386887,4
83,84,,0.8578750057,1.0395174119,0.4625178842,0.1715031233,1.1809620756,4,,1.4496197258,1.4520432462,0.0936981592,1.35,1.5443924107,4,,0.0123332353,0.0142497442,0.0067662085,0.002594764,0.0182386887,4
84,85,,0.8578750057,1.0395174119,0.4625178842,0.1715031233,1.1809620756,4,,1.4496197258,1.4520432462,0.0936981592,1.35,1.5443924107,4,,0.0123332353,0.0142497442,0.0067662085,0.002594764,0.0182386887,4
85,86,,0.832688311,1.0402424119,0.5133092273,0.0693063447,1.1809620756,4,,1.5453776454,1.467762253,0.2409506413,1.36,1.8859860756,4,,0.0120419388,0.0143109792,0.0073967267,0.001307108,0.0182386887,4
86,87,,0.832688311,1.0402424119,0.5133092273,0.0693063447,1.1809620756,4,,1.5453776454,1.467762253,0.2409506413,1.36,1.8859860756,4,,0.0120419388,0.0143109792,0.0073967267,0.001307108,0.0182386887,4
87,88,,0.832688311,1.0402424119,0.5133092273,0.0693063447,1.1809620756,4,,1.5453776454,1.467762253,0.2409506413,1.36,1.8859860756,4,,0.0120419388,0.0143109792,0.0073967267,0.001307108,0.0182386887,4
88,89,,0.832688311,1.0402424119,0.5133092273,0.0693063447,1.1809620756,4,,1.5453776454,1.467762253,0.2409506413,1.36,1.8859860756,4,,0.0120419388,0.0143109792,0.0073967267,0.001307108,0.0182386887,4
89,90,,0.832688311,1.0402424119,0.5133092273,0.0693063447,1.1809620756,4,,1.5453776454,1.467762253,0.2409506413,1.36,1.8859860756,4,,0.0120419388,0.0143109792,0.0073967267,0.001307108,0.0182386887,4
