,,,SOC weight%,,,,,,,BD g/cm3,,,,,,,C Dens. g/cm3,,,,,
Upper depth (cm),Lower depth (cm),,mean,median,std,min,max,n,,mean,median,std,min,max,n,,mean,median,std,min,max,n
85,86,,2.8879762475,3.131300414,2.3895902206,0,6.1365,9,,0.2943228452,0.2691813522,0.2702277629,0,0.7984496802,9,,0.0129802414,0.0136601558,0.0131096448,0,0.0389655858,9
86,87,,2.8879762475,3.131300414,2.3895902206,0,6.1365,9,,0.2943228452,0.2691813522,0.2702277629,0,0.7984496802,9,,0.0129802414,0.0136601558,0.0131096448,0,0.0389655858,9
87,88,,2.8879762475,3.131300414,2.3895902206,0,6.1365,9,,0.2943228452,0.2691813522,0.2702277629,0,0.7984496802,9,,0.0129802414,0.0136601558,0.0131096448,0,0.0389655858,9
88,89,,2.8879762475,3.131300414,2.3895902206,0,6.1365,9,,0.2943228452,0.2691813522,0.2702277629,0,0.7984496802,9,,0.0129802414,0.0136601558,0.0131096448,0,0.0389655858,9
89,90,,2.9893651363,3.131300414,2.5580712,0,7.049,9,,0.2834259374,0.2691813522,0.2671276123,0,0.7984496802,9,,0.0126236109,0.0136601558,0.0127843084,0,0.0389655858,9
90,91,,1.7733602476,0,2.5372422122,0,7.049,9,,0.1832943633,0,0.2307796241,0,0.5938932451,9,,0.0065360725,0,0.0083986453,0,0.0216956572,9
91,92,,1.7733602476,0,2.5372422122,0,7.049,9,,0.1832943633,0,0.2307796241,0,0.5938932451,9,,0.0065360725,0,0.0083986453,0,0.0216956572,9
92,93,,1.7733602476,0,2.5372422122,0,7.049,9,,0.1832943633,0,0.2307796241,0,0.5938932451,9,,0.0065360725,0,0.0083986453,0,0.0216956572,9
93,94,,1.7733602476,0,2.5372422122,0,7.049,9,,0.1832943633,0,0.2307796241,0,0.5938932451,9,,0.0065360725,0,0.0083986453,0,0.0216956572,9
94,95,,2.0861380254,0,3.3212646633,0,9.864,9,,0.1953262488,0,0.2406912306,0,0.5938932451,9,,0.008685576,0,0.0136175654,0,0.0410411887,9
95,96,,1.9597845797,0,3.2204778031,0,9.864,10,,0.2326192999,0,0.3287318443,0,0.7833077887,10,,0.0097598346,0,0.0143122777,0,0.0410411887,10
96,97,,1.9597845797,0,3.2204778031,0,9.864,10,,0.2326192999,0,0.3287318443,0,0.7833077887,10,,0.0097598346,0,0.0143122777,0,0.0410411887,10
97,98,,1.9597845797,0,3.2204778031,0,9.864,10,,0.2326192999,0,0.3287318443,0,0.7833077887,10,,0.0097598346,0,0.0143122777,0,0.0410411887,10
98,99,,1.9597845797,0,3.2204778031,0,9.864,10,,0.2326192999,0,0.3287318443,0,0.7833077887,10,,0.0097598346,0,0.0143122777,0,0.0410411887,10
99,100,,1.9597845797,0,3.2204778031,0,9.864,10,,0.2326192999,0,0.3287318443,0,0.7833077887,10,,0.0097598346,0,0.0143122777,0,0.0410411887,10
100,101,,11.4503333333,0,19.8325590969,0,34.351,3,,0.0657992186,0,0.1139675897,0,0.1973976558,3,,0.0226026896,0,0.0391490067,0,0.0678080687,3
101,102,,11.4503333333,0,19.8325590969,0,34.351,3,,0.0657992186,0,0.1139675897,0,0.1973976558,3,,0.0226026896,0,0.0391490067,0,0.0678080687,3
102,103,,11.4503333333,0,19.8325590969,0,34.351,3,,0.0657992186,0,0.1139675897,0,0.1973976558,3,,0.0226026896,0,0.0391490067,0,0.0678080687,3
103,104,,11.4503333333,0,19.8325590969,0,34.351,3,,0.0657992186,0,0.1139675897,0,0.1973976558,3,,0.0226026896,0,0.0391490067,0,0.0678080687,3
104,105,,11.4503333333,0,19.8325590969,0,34.351,3,,0.0657992186,0,0.1139675897,0,0.1973976558,3,,0.0226026896,0,0.0391490067,0,0.0678080687,3
105,106,,10.0986666667,0,17.4914037554,0,30.296,3,,0.107058022,0,0.1854299334,0,0.3211740659,3,,0.0324342983,0,0.0561778526,0,0.097302895,3
106,107,,10.0986666667,0,17.4914037554,0,30.296,3,,0.107058022,0,0.1854299334,0,0.3211740659,3,,0.0324342983,0,0.0561778526,0,0.097302895,3
107,108,,10.0986666667,0,17.4914037554,0,30.296,3,,0.107058022,0,0.1854299334,0,0.3211740659,3,,0.0324342983,0,0.0561778526,0,0.097302895,3
108,109,,10.0986666667,0,17.4914037554,0,30.296,3,,0.107058022,0,0.1854299334,0,0.3211740659,3,,0.0324342983,0,0.0561778526,0,0.097302895,3
109,110,,10.0986666667,0,17.4914037554,0,30.296,3,,0.107058022,0,0.1854299334,0,0.3211740659,3,,0.0324342983,0,0.0561778526,0,0.097302895,3
